#* opts
# style NewRibbons
# header1 mol
# format_data %8.4f
# header2 frame
# colorID 0
# collections rmsd avg std min max
# sets dual
# format_scale %4.2f
# ascii 0
# format_key %3d %3d
# connect lines
# formats f
# calctype rmsd
# mode frames
# color Molecule
#* guiopts
# byres 1
# align 0
# force_samemols 0
# diagonal 0
#* sets
# mol2_def id
# mol_all 0 1
# mol1 0
# mol2 1
# rep_sel protein
# samemols 0
# frame1_def all
# frame2_def all
# frame1 {0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19}
# frame2 {0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19}
# sel1 protein
# sel2 protein
# mol1_def id
    mol1   frame1       mol2   frame2       rmsd      avg      std      min      max
       0       10          1       17     3.2567   2.2437   2.7822   0.3681  20.8602
       0       10          1       18     2.3507   1.8544   1.5249   0.2262   9.9812
       0       10          1       19     3.7193   2.3341   3.3462   0.5013  22.0545
       0       11          1        0     2.6057   1.9295   2.1157   0.4106  16.6807
       0       11          1        1     3.1293   2.1758   2.7666   0.3538  21.8084
       0       11          1        2     2.7021   2.0290   2.1174   0.4502  14.7269
       0       11          1        3     3.3608   2.2263   2.9825   0.3746  20.3990
       0       11          1        4     2.8356   2.0012   2.2472   0.2311  13.9484
       0       11          1        5     2.4439   1.9120   1.6992   0.3642  12.7865
       0       11          1        6     3.7039   2.2874   3.5462   0.3345  25.8803
       0       11          1        7     1.8929   1.6243   0.8692   0.2487   5.5239
       0       11          1        8     2.7968   2.0469   2.2654   0.2515  17.3398
       0       11          1        9     3.0001   2.1122   2.5616   0.4486  19.1720
       0       11          1       10     2.6625   1.8339   2.2311   0.2244  15.8582
       0       11          1       11     0.0000   0.0000   0.0000   0.0000   0.0000
       0       11          1       12     2.7776   1.9766   2.2201   0.3774  16.1635
       0       11          1       13     2.9914   2.1393   2.5108   0.3171  18.9325
       0       11          1       14     3.5322   2.2452   3.2327   0.3683  22.1769
       0       11          1       15     3.3143   2.2090   2.9070   0.3850  20.2874
       0       11          1       16     3.8532   2.4113   3.5227   0.4817  23.5514
       0       11          1       17     2.2049   1.9009   1.2096   0.4664   9.2300
       0       11          1       18     2.7059   1.9344   2.2697   0.3277  17.5241
       0       11          1       19     2.7707   2.0963   2.1052   0.3965  15.0914
       0       12          1        0     2.2768   1.7674   1.3082   0.3664   8.3830
       0       12          1        1     2.4057   1.8520   1.7190   0.2415  12.2739
       0       12          1        2     2.4292   1.8985   1.4302   0.1906   8.8179
       0       12          1        3     2.2536   1.7978   1.4066   0.1998   9.5013
       0       12          1        4     2.0760   1.7735   1.0168   0.4175   5.4533
       0       12          1        5     2.5419   1.9388   1.7393   0.3147  12.2956
       0       12          1        6     2.5217   1.8963   1.9888   0.2529  15.6027
       0       12          1        7     2.7418   1.9811   2.1047   0.3736  15.5958
       0       12          1        8     2.4131   1.8435   1.6093   0.2479   9.3687
       0       12          1        9     2.4856   2.0142   1.5397   0.3404  10.0534
       0       12          1       10     3.2471   2.1442   2.9214   0.2781  22.1108
       0       12          1       11     2.7776   1.9766   2.2201   0.3774  16.1635
       0       12          1       12     0.0000   0.0000   0.0000   0.0000   0.0000
       0       12          1       13     2.2976   1.7990   1.3369   0.2734   7.5776
       0       12          1       14     2.7645   1.9790   2.3160   0.1958  17.6549
       0       12          1       15     2.2380   1.8198   1.3221   0.3744   9.6345
       0       12          1       16     2.6386   1.9197   2.1864   0.3013  17.1470
       0       12          1       17     2.6592   1.9732   1.8660   0.2154  12.8220
       0       12          1       18     2.7895   2.0181   2.0864   0.3230  15.7312
       0       12          1       19     2.7156   2.1190   1.8043   0.4406  11.4580
       0       13          1        0     2.0950   1.7655   1.0544   0.3403   5.5151
